Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
"Rumah Mewah Siap Huni di Kayara PIK, Clasic Modern, Semi Furnish",Rp 46 Miliar,3,3,1084 m²,1084 m²,2,SHM,Lainnya,1,1,2,3,Bagus
"FOR SALE : KEBAYORAN BARU. RUMAH MURAH BANGUNAN  2 LANTAI SIAP HUNI, DEKAT SENOPATI AREA HARGA RP.9.2 M NEGO KEBAYORAN BARU JAKARTA SELATAN","Rp 9,2 Miliar",4,3,258 m²,360 m²,1,SHM,4400 Watt,1,1,1,1,Bagus
Rumah Hoek Puri Indah Mewah Marmer Full Slab Cluster Aman Banjir,"Rp 12,5 Miliar",3,1,370 m²,547 m²,2,SHM,Lainnya,1,1,1,2,Bagus
Rumah di Puri Indah Nomor Rumah Cantik Luas 160m2,"Rp 4,2 Miliar",5,4,160 m²,125 m²,2,SHM,4400 Watt,1,1,2,2,Bagus
Rumah Dijual Puri Indah Dalam Cluster 2 Lantai Luas Tanah 330m2 ,"Rp 8,5 Miliar",4,3,330 m²,300 m²,1,SHM,Lainnya,1,1,4,2,Bagus
Rumah 2 Lantai Puri Indah Desain Minimalis Sirkulasi Udara Bagus,"Rp 4,5 Miliar",4,3,140 m²,250 m²,1,SHM,4400 Watt,2,1,4,2,Bagus
Rumah Mewah Cluster Elite Puri Indah Lt 274m2 Bonus Tanah,"Rp 13,5 Miliar",3,3,274 m²,400 m²,1,SHM,Lainnya,1,1,3,1,Bagus
Rumah 2 Lantai Puri Indah Blok Bagus Desain Plong Lebar Depan 12 Meter,Rp 14 Miliar,2,2,330 m²,400 m²,1,SHM,5500 Watt,1,1,1,2,Bagus
Rumah 2 KT Hadap Utara 25 Menit ke Mall Grand Cakung Harga Nego J23711,Rp 590 Juta,4,2,120 m²,80 m²,1,SHM,2200 Watt,1,1,2,2,Bagus
Rumah 9 Menit ke Stasiun Cakung Harga Nego LT 140 Dibantu KPR J24492,"Rp 1,55 Miliar",4,3,140 m²,100 m²,1,HGB,2200 Watt,1,1,1,2,Bagus
Rumah Mewah 2 Lantai Taman Permata Buana Luas Tanah 475m2 ,Rp 13 Miliar,4,4,475 m²,500 m²,2,SHM,6600 Watt,2,1,1,3,Bagus
Rumah Permata Buana Minimalis Plong Bagus Cluster Favorit,"Rp 10,9 Miliar",5,4,230 m²,320 m²,2,SHM,Lainnya,1,1,1,2,Sudah Renovasi
Rumah 3 Lantai Siap Huni Taman Permata Buana Luas Tanah 200m2,"Rp 7,9 Miliar",4,3,200 m²,450 m²,1,SHM,7700 Watt,1,1,1,2,Bagus
